classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc,null_del,encoded,scaler,sampler,class_weight
LightGBM,0.8985629754860525,0.7334621673851642,0.9985832827362882,0.8457319163524168,0.9292744592375599,0.7728292214033964,0.0028328611898017,0.2857142857142857,0.005610098176718093,0.5298192494724285,0,1,MM,SVMSMOTE,"{0: 0.005, 1: 1}"
SVC,0.9980839673147366,1.0,0.9931188018619712,0.9965475223395613,0.9965594009309856,0.9977571291252804,0.0,0.0,0.0,0.5,0,1,MM,SVMSMOTE,balanced
LogisticReg,0.6877147766323024,0.6155473294553147,1.0,0.7620294599018004,0.6877147766323024,0.24158923421980136,0.002109704641350211,0.7142857142857143,0.004206983592763988,0.4774061840535829,0,1,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
DecisionTree,0.5838409871915027,0.545756787860705,1.0,0.7061353922514821,0.5838409871915027,0.16148670297981416,0.002288329519450801,0.8571428571428571,0.004564473183720046,0.5085328929259565,0,1,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
RandomForest,0.5145657606997813,0.5073905290271449,1.0,0.6732038171350457,0.5145657606997813,0.024351169496956104,0.0022935779816513763,1.0,0.004576659038901603,0.5110789980732178,0,1,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
LightGBM,0.8305217119650109,0.7468502099860009,1.0,0.8550821423801256,0.8305217119650109,0.5821851970522268,0.0023023791250959325,0.42857142857142855,0.0045801526717557245,0.5055509679787137,0,1,MM,RandomOverSampler,"{0: 0.01, 1: 1.0}"
SVC,0.9967588253670728,0.9935594009466905,1.0,0.996769296640847,0.9967588253670727,0.9842999038769625,0.0,0.0,0.0,0.4932562620423892,0,1,MM,RandomOverSampler,balanced
LogisticReg,0.8997464074387151,0.7357590217715478,0.9985832827362882,0.8472568043272946,0.9300945154699871,0.7741108619032362,0.004261363636363636,0.42857142857142855,0.008438818565400843,0.6017295164694009,0,1,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
DecisionTree,0.9333333333333333,0.8072269457161544,0.999190447277879,0.8930089536040517,0.9535549237326602,0.87504005126562,0.0025974025974025974,0.14285714285714285,0.005102040816326531,0.5097715386732727,0,1,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
RandomForest,0.9549732318963088,0.863078541374474,0.9963570127504554,0.9249412869891968,0.9676802245882862,0.8731175905158604,0.005089058524173028,0.2857142857142857,0.01,0.5800761537755756,0,1,SD,SVMSMOTE,"{0: 0.005, 1: 1}"
