,class_weight,null_del,encoded,scaler,sampler,classifier,train accuracy,train precision,train recall,train f1,train auc,test accuracy,test precision,test recall,test f1,test auc
58,1,0,1,RB,BdlSMOTE,LightGBM,0.8993283348953452,0.8328776041666667,0.9991408934707904,0.9084647067177957,0.8993283348953451,0.7173982697853252,0.00340522133938706,0.42857142857142855,0.006756756756756756,0.5733094779337554
59,1,0,1,RB,BdlSMOTE,SVC,0.9956654170571696,0.9939294886761616,0.9974226804123711,0.9956730206993334,0.9956654170571697,0.9897468760012816,0.0,0.0,0.0,0.4959858702633269
60,1,0,0,None,BdlSMOTE,LogisticReg,0.5620899718837863,0.5331139620126625,0.9996094970321775,0.6953710746495709,0.5620899718837864,0.13649471323293816,0.0025906735751295338,1.0,0.00516795865633075,0.5672768143866409
61,1,0,0,None,BdlSMOTE,DecisionTree,0.9225632614807873,0.866639560886359,0.9988284910965324,0.9280505061499946,0.9225632614807873,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501
62,1,0,0,None,BdlSMOTE,RandomForest,0.9847703842549204,0.9720152091254752,0.9982817869415808,0.9849734145025815,0.9847703842549204,0.9548221723806473,0.014492753623188406,0.2857142857142857,0.02758620689655172,0.6210202770896411
63,1,0,0,None,BdlSMOTE,LightGBM,0.7792486722899093,0.6939517222674261,0.9991408934707904,0.8190403021863697,0.7792486722899095,0.4351169496956104,0.003393665158371041,0.8571428571428571,0.0067605633802816905,0.6456555647307092
64,1,0,0,None,BdlSMOTE,SVC,0.9348641049671977,0.9184578385690666,0.9544673539518901,0.9361164304864037,0.9348641049671979,0.9131688561358539,0.0037593984962406013,0.14285714285714285,0.007326007326007326,0.5288787962198366
65,1,0,0,MM,BdlSMOTE,LogisticReg,0.7480865354576695,0.6651931977741953,0.9989846922836614,0.7986139293853214,0.7480865354576696,0.45305991669336754,0.00234192037470726,0.5714285714285714,0.004664723032069971,0.5121112028626479
66,1,0,0,MM,BdlSMOTE,DecisionTree,0.9225632614807873,0.866639560886359,0.9988284910965324,0.9280505061499946,0.9225632614807873,0.793976289650753,0.004672897196261682,0.42857142857142855,0.009244992295839752,0.6116845582163501
67,1,0,0,MM,BdlSMOTE,RandomForest,0.9847703842549204,0.9720152091254752,0.9982817869415808,0.9849734145025815,0.9847703842549204,0.9548221723806473,0.014492753623188406,0.2857142857142857,0.02758620689655172,0.6210202770896411
68,1,0,0,MM,BdlSMOTE,LightGBM,0.7792486722899093,0.6939517222674261,0.9991408934707904,0.8190403021863697,0.7792486722899095,0.4351169496956104,0.003393665158371041,0.8571428571428571,0.0067605633802816905,0.6456555647307092
